ts,nav,cash_nav,unrealized
1767375900,10205.94773325,10205.94773325,0.0
1767376800,10205.94773325,10205.94773325,0.0
1767377700,10205.94773325,10205.94773325,0.0
1767378600,10205.94773325,10205.94773325,0.0
1767379500,10205.94773325,10205.94773325,0.0
1767380400,10205.94773325,10205.94773325,0.0
1767381300,10205.94773325,10205.94773325,0.0
1767382200,10205.94773325,10205.94773325,0.0
1767383100,10205.94773325,10205.94773325,0.0
1767384000,10205.94773325,10205.94773325,0.0
1767384900,10205.94773325,10205.94773325,0.0
1767385800,10205.94773325,10205.94773325,0.0
1767386700,10205.94773325,10205.94773325,0.0
1767387600,10205.94773325,10205.94773325,0.0
1767388500,10205.94773325,10205.94773325,0.0
1767389400,10205.94773325,10205.94773325,0.0
1767390300,10205.94773325,10205.94773325,0.0
1767391200,10205.94773325,10205.94773325,0.0
1767392100,10205.94773325,10205.94773325,0.0
1767393000,10205.94773325,10205.94773325,0.0
1767393900,10205.94773325,10205.94773325,0.0
1767394800,10205.94773325,10205.94773325,0.0
1767395700,10205.94773325,10205.94773325,0.0
1767396600,10205.94773325,10205.94773325,0.0
1767397500,10205.94773325,10205.94773325,0.0
1767398400,10205.94773325,10205.94773325,0.0
1767399300,10205.94773325,10205.94773325,0.0
1767400200,10205.94773325,10205.94773325,0.0
1767401100,10205.94773325,10205.94773325,0.0
1767402000,10205.94773325,10205.94773325,0.0
1767402900,10205.94773325,10205.94773325,0.0
1767403800,10205.94773325,10205.94773325,0.0
1767404700,10205.94773325,10205.94773325,0.0
1767405600,10205.94773325,10205.94773325,0.0
1767406500,10205.94773325,10205.94773325,0.0
1767407400,10205.94773325,10205.94773325,0.0
1767408300,10205.58036321,10205.71810115,-0.13773794
1767409200,10208.08391712,10205.71810115,2.36581597
1767410100,10210.75537949,10205.71810115,5.03727834
1767411000,10213.56775416,10205.71810115,7.84965301
1767411900,10216.53300784,10205.71810115,10.81490669
1767412800,10219.61092429,10205.71810115,13.89282314
1767413700,10222.79984307,10205.71810115,17.08174192
1767414600,10226.06745259,10205.71810115,20.34935144
1767415500,10229.41059641,10205.71810115,23.69249526
1767416400,10232.80473851,10205.71810115,27.08663736
1767417300,10236.21497911,10205.71810115,30.49687796
1767418200,10239.63506055,10205.71810115,33.9169594
1767419100,10243.02057979,10205.71810115,37.30247864
1767420000,10246.36475624,10205.71810115,40.64665509
1767420900,10249.6430903,10205.71810115,43.92498915
1767421800,10252.83090694,10205.71810115,47.11280579
1767422700,10255.90397134,10205.71810115,50.18587019
1767423600,10258.84993492,10205.71810115,53.13183377
1767424500,10261.63751873,10205.71810115,55.91941758
1767425400,10264.27724975,10205.71810115,58.5591486
1767426300,10266.74123819,10205.71810115,61.02313704
1767427200,10269.01306016,10205.71810115,63.29495901
1767428100,10271.10917369,10205.71810115,65.39107254
1767429000,10273.01016186,10205.71810115,67.29206071
1767429900,10274.72684188,10205.71810115,69.00874073
1767430800,10276.26187147,10205.71810115,70.54377032
1767431700,10277.61992725,10205.71810115,71.9018261
1767432600,10278.81844259,10205.71810115,73.10034144
1767433500,10279.85660555,10205.71810115,74.1385044
1767434400,10280.77466549,10205.71810115,75.05656434
1767435300,10281.56561364,10205.71810115,75.84751249
1767436200,10282.26291007,10205.71810115,76.54480892
1767437100,10282.89132247,10205.71810115,77.17322132
1767438000,10283.46735642,10205.71810115,77.74925527
1767438900,10284.01656735,10205.71810115,78.2984662
1767439800,10284.57643331,10205.71810115,78.85833216
1767440700,10285.15349991,10205.71810115,79.43539876
1767441600,10285.78433833,10205.71810115,80.06623718
1767442500,10286.4851861,10205.71810115,80.76708494
1767443400,10287.29203519,10205.71810115,81.57393404
1767444300,10288.21861435,10205.71810115,82.5005132
1767445200,10289.27900314,10205.71810115,83.56090199
1767446100,10290.50489754,10205.71810115,84.78679639
1767447000,10291.89765681,10205.71810115,86.17955566
1767447900,10293.48574995,10205.71810115,87.7676488
1767448800,10295.26712389,10205.71810115,89.54902274
1767449700,10297.25670322,10205.71810115,91.53860207
1767450600,10299.45844636,10205.71810115,93.74034521
1767451500,10301.87597414,10205.71810115,96.15787299
1767452400,10304.51871039,10205.71810115,98.80060924
1767453300,10307.37493434,10205.71810115,101.65683319
1767454200,10310.42937059,10205.71810115,104.71126943
1767455100,10313.69620335,10205.71810115,107.9781022
1767456000,10317.13593462,10205.71810115,111.41783347
1767456900,10320.74913469,10205.71810115,115.03103354
1767457800,10324.51276354,10205.71810115,118.79466239
1767458700,10328.40394664,10205.71810115,122.68584549
1767459600,10332.40684035,10205.71810115,126.6887392
1767460500,10336.49500557,10205.71810115,130.77690442
1767461400,10340.63100063,10205.71810115,134.91289948
1767462300,10344.80665486,10205.71810115,139.08855371
1767463200,10348.97252451,10205.71810115,143.25442336
1767464100,10353.1200914,10205.71810115,147.40199025
1767465000,10357.19981909,10205.71810115,151.48171794
1767465900,10361.20301399,10205.71810115,155.48491284
1767466800,10365.09247935,10205.71810115,159.3743782
1767467700,10368.85079278,10205.71810115,163.13269163
1767468600,10372.44282283,10205.71810115,166.72472168
1767469500,10375.86486693,10205.71810115,170.14676578
1767470400,10379.0845076,10205.71810115,173.36640645
1767471300,10382.0825838,10205.71810115,176.36448265
1767472200,10384.87171098,10205.71810115,179.15360983
1767473100,10387.4277724,10205.71810115,181.70967125
1767474000,10389.75066216,10205.71810115,184.03256101
1767474900,10391.85119748,10205.71810115,186.13309633
1767475800,10393.72365811,10205.71810115,188.00555696
1767476700,10395.38283955,10205.71810115,189.6647384
1767477600,10396.8386445,10205.71810115,191.12054335
1767478500,10398.1213987,10205.71810115,192.40329755
1767479400,10399.23452669,10205.71810115,193.51642554
1767480300,10400.20298151,10205.71810115,194.48488036
1767481200,10401.05379469,10205.71810115,195.33569354
1767482100,10401.82518569,10205.71810115,196.10708454
1767483000,10402.52664906,10205.71810115,196.80854791
1767483900,10403.20782383,10205.71810115,197.48972268
1767484800,10403.87959794,10205.71810115,198.16149679
1767485700,10404.59270264,10205.71810115,198.87460149
1767486600,10405.35673509,10205.71810115,199.63863394
1767487500,10406.22198632,10205.71810115,200.50388517
1767488400,10407.19776555,10205.71810115,201.4796644
1767489300,10408.33083235,10205.71810115,202.6127312
1767490200,10409.62883776,10205.71810115,203.91073661
1767491100,10411.11571212,10205.71810115,205.39761096
1767492000,10412.82533581,10205.71810115,207.10723466
1767492900,10414.75798583,10205.71810115,209.03988468
1767493800,10416.94335245,10205.71810115,211.2252513
1767494700,10419.36775122,10205.71810115,213.64965007
1767495600,10416.14383206,10416.14383206,0.0
1767496500,10416.14383206,10416.14383206,0.0
1767497400,10416.14383206,10416.14383206,0.0
1767498300,10416.14383206,10416.14383206,0.0
1767499200,10416.14383206,10416.14383206,0.0
1767500100,10416.14383206,10416.14383206,0.0
1767501000,10416.14383206,10416.14383206,0.0
1767501900,10416.14383206,10416.14383206,0.0
1767502800,10416.14383206,10416.14383206,0.0
1767503700,10416.14383206,10416.14383206,0.0
1767504600,10416.14383206,10416.14383206,0.0
1767505500,10416.14383206,10416.14383206,0.0
1767506400,10416.14383206,10416.14383206,0.0
1767507300,10416.14383206,10416.14383206,0.0
1767508200,10416.14383206,10416.14383206,0.0
1767509100,10416.14383206,10416.14383206,0.0
1767510000,10416.14383206,10416.14383206,0.0
1767510900,10416.14383206,10416.14383206,0.0
1767511800,10416.14383206,10416.14383206,0.0
1767512700,10416.14383206,10416.14383206,0.0
1767513600,10416.14383206,10416.14383206,0.0
1767514500,10416.14383206,10416.14383206,0.0
1767515400,10416.14383206,10416.14383206,0.0
1767516300,10416.14383206,10416.14383206,0.0
1767517200,10416.14383206,10416.14383206,0.0
1767518100,10416.14383206,10416.14383206,0.0
1767519000,10416.14383206,10416.14383206,0.0
1767519900,10416.14383206,10416.14383206,0.0
1767520800,10416.14383206,10416.14383206,0.0
1767521700,10416.14383206,10416.14383206,0.0
1767522600,10416.14383206,10416.14383206,0.0
1767523500,10416.14383206,10416.14383206,0.0
1767524400,10416.14383206,10416.14383206,0.0
1767525300,10416.14383206,10416.14383206,0.0
1767526200,10416.14383206,10416.14383206,0.0
1767527100,10416.14383206,10416.14383206,0.0
1767528000,10416.14383206,10416.14383206,0.0
1767528900,10416.14383206,10416.14383206,0.0
1767529800,10416.14383206,10416.14383206,0.0
1767530700,10416.14383206,10416.14383206,0.0
1767531600,10416.14383206,10416.14383206,0.0
1767532500,10416.14383206,10416.14383206,0.0
