ts,nav,cash_nav,unrealized
1767554100,102707.59541467,102591.62857139,115.96684328
1767555000,102732.7992701,102591.62857139,141.17069871
1767555900,102642.41421215,102642.41421215,0.0
1767556800,102635.48710725,102637.7953728,-2.30826555
1767557700,102563.34955016,102563.34955016,0.0
1767558600,102556.42778116,102558.73426866,-2.30648751
1767559500,102585.52611654,102558.73426866,26.79184788
1767560400,102616.00056269,102558.73426866,57.26629403
1767561300,102647.91184603,102558.73426866,89.17757736
1767562200,102681.41044431,102558.73426866,122.67617564
1767563100,102716.4974594,102558.73426866,157.76319074
1767564000,102753.26033878,102558.73426866,194.52607012
1767564900,102674.02579233,102674.02579233,0.0
1767565800,102667.09655403,102669.40553047,-2.30897644
1767566700,102607.60816932,102607.60816932,0.0
1767567600,102600.6834134,102602.99089621,-2.30748281
1767568500,102642.9972743,102602.99089621,40.0063781
1767569400,102686.97129988,102602.99089621,83.98040367
1767570300,102732.53983393,102602.99089621,129.54893772
1767571200,102779.69929165,102602.99089621,176.70839544
1767572100,102828.38776034,102602.99089621,225.39686413
1767573000,102878.51443061,102602.99089621,275.5235344
1767573900,102810.23130829,102810.23130829,0.0
1767574800,102803.29287779,102805.60491728,-2.31203949
1767575700,102753.8629682,102753.8629682,0.0
1767576600,102746.92834187,102749.23911372,-2.31077185
1767577500,102797.57201215,102749.23911372,48.33289842
1767578400,102848.91838986,102749.23911372,99.67927614
1767579300,102900.88142698,102749.23911372,151.64231325
1767580200,102953.28264946,102749.23911372,204.04353573
1767581100,103006.00531813,102749.23911372,256.76620441
1767582000,103058.90756198,102749.23911372,309.66844826
1767582900,102991.04697424,102991.04697424,0.0
1767583800,102984.0963409,102986.41244664,-2.31610574
1767584700,102932.8543337,102932.8543337,0.0
1767585600,102925.90762765,102928.22242474,-2.31479708
1767586500,102972.30687629,102928.22242474,44.08445156
1767587400,103018.10822177,102928.22242474,89.88579703
1767588300,103063.17452424,102928.22242474,134.95209951
1767589200,103107.39703978,102928.22242474,179.17461504
1767590100,103150.71268468,102928.22242474,222.49025994
1767591000,103193.02609349,102928.22242474,264.80366875
1767591900,103114.40538542,103114.40538542,0.0
1767592800,103107.4464269,103109.76530678,-2.31887988
1767593700,103044.10290511,103044.10290511,0.0
1767594600,103037.14869115,103039.46599003,-2.31729889
1767595500,103070.66585861,103039.46599003,31.19986858
1767596400,103103.07975245,103039.46599003,63.61376241
1767597300,103134.44278522,103039.46599003,94.97679519
1767598200,103164.76324715,103039.46599003,125.29725711
1767599100,103194.11379319,103039.46599003,154.64780315
1767600000,103222.54149852,103039.46599003,183.07550848
1767600900,103132.1844079,103132.1844079,0.0
1767601800,103125.22424951,103127.54352921,-2.3192797
1767602700,103050.57827517,103050.57827517,0.0
1767603600,103043.6236242,103045.94106871,-2.31744451
1767604500,103067.48053227,103045.94106871,21.53946356
1767605400,103091.08050159,103045.94106871,45.13943289
1767606300,103114.58979107,103045.94106871,68.64872236
1767607200,103138.12029992,103045.94106871,92.17923121
1767608100,103161.80473792,103045.94106871,115.86366922
1767609000,103185.83566704,103045.94106871,139.89459833
1767609900,103093.39546738,103093.39546738,0.0
1767610800,103086.43792677,103088.75633417,-2.3184074
1767611700,103011.65323846,103011.65323846,0.0
1767612600,103004.70121445,103007.0177836,-2.31656915
1767613500,103031.03886122,103007.0177836,24.02107761
1767614400,103058.44899785,103007.0177836,51.43121425
1767615300,103087.08869382,103007.0177836,80.07091022
1767616200,103117.02810537,103007.0177836,110.01032177
1767617100,103148.39323822,103007.0177836,141.37545462
1767618000,103181.26451757,103007.0177836,174.24673397
1767618900,103098.00541252,103098.00541252,0.0
1767619800,103091.0475608,103093.36607187,-2.31851107
1767620700,103027.38726122,103027.38726122,0.0
1767621600,103020.43417536,103022.75109834,-2.31692298
1767622500,103059.14186798,103022.75109834,36.39076964
1767623400,103099.54894972,103022.75109834,76.79785138
1767624300,103141.67994866,103022.75109834,118.92885032
1767625200,103185.49231438,103022.75109834,162.74121604
1767626100,103231.01183206,103022.75109834,208.26073372
1767627000,103278.17979826,103022.75109834,255.42869992
1767627900,103207.22402162,103207.22402162,0.0
1767628800,103200.25879898,103202.57976621,-2.32096722
1767629700,103148.72390484,103148.72390484,0.0
1767630600,103141.76263024,103144.08228189,-2.31965165
1767631500,103191.3966155,103144.08228189,47.31433361
1767632400,103242.10724344,103144.08228189,98.02496155
1767633300,103293.78725982,103144.08228189,149.70497793
1767634200,103346.32086929,103144.08228189,202.2385874
1767635100,103399.5871964,103144.08228189,255.50491451
1767636000,103453.44273832,103144.08228189,309.36045643
1767636900,103386.53558116,103386.53558116,0.0
1767637800,103379.55825719,103381.88325684,-2.32499966
1767638700,103329.96703926,103329.96703926,0.0
1767639600,103322.99353297,103325.31726049,-2.32372752
1767640500,103372.08617635,103325.31726049,46.76891586
1767641400,103420.89705813,103325.31726049,95.57979764
1767642300,103469.30353321,103325.31726049,143.98627272
1767643200,103517.18739075,103325.31726049,191.87013026
1767644100,103564.39983882,103325.31726049,239.08257833
1767645000,103610.84894927,103325.31726049,285.53168878
1767645900,103535.60653015,103535.60653015,0.0
1767646800,103528.61914571,103530.94749774,-2.32835203
1767647700,103468.92747089,103468.92747089,0.0
1767648600,103461.94458648,103464.271439,-2.32685252
1767649500,103499.50919526,103464.271439,35.23775626
1767650400,103535.95870248,103464.271439,71.68726348
1767651300,103571.29614318,103464.271439,107.02470418
1767652200,103605.51787901,103464.271439,141.24644001
1767653100,103638.59996614,103464.271439,174.32852714
1767654000,103670.60676247,103464.271439,206.33532348
1767654900,103582.5569036,103582.5569036,0.0
1767655800,103575.56635059,103577.89575846,-2.32940787
1767656700,103502.98253805,103502.98253805,0.0
1767657600,103495.99735534,103498.3249737,-2.32761837
1767658500,103521.67635656,103498.3249737,23.35138285
1767659400,103546.76387378,103498.3249737,48.43890008
1767660300,103571.38279201,103498.3249737,73.0578183
1767661200,103595.6441348,103498.3249737,97.31916109
1767662100,103619.68157598,103498.3249737,121.35660228
1767663000,103643.64687536,103498.3249737,145.32190165
1767663900,103550.12614525,103550.12614525,0.0
1767664800,103543.13778091,103545.46645947,-2.32867855
1767665700,103466.68394703,103466.68394703,0.0
1767666600,103459.70121402,103462.02801609,-2.32680207
1767667500,103484.08994731,103462.02801609,22.06193122
1767668400,103509.23424273,103462.02801609,47.20622664
1767669300,103535.2542409,103462.02801609,73.22622481
1767670200,103562.2965423,103462.02801609,100.26852621
1767671100,103590.46016465,103462.02801609,128.43214856
1767672000,103619.86788753,103462.02801609,157.83987143
1767672900,103532.81816673,103532.81816673,0.0
1767673800,103525.83097047,103528.15925979,-2.32828932
1767674700,103458.07105115,103458.07105115,0.0
1767675600,103451.0888994,103453.41550778,-2.32660838
1767676500,103486.01146577,103453.41550778,32.59595799
1767677400,103522.59290719,103453.41550778,69.1773994
1767678300,103560.87683592,103453.41550778,107.46132813
1767679200,103600.89945615,103453.41550778,147.48394837
1767680100,103642.67280599,103453.41550778,189.25729821
1767681000,103686.19999347,103453.41550778,232.78448569
1767681900,103611.8219385,103611.8219385,0.0
1767682800,103604.82941046,103607.15947646,-2.33006599
1767683700,103550.28062217,103550.28062217,0.0
1767684600,103543.29224741,103545.62092943,-2.32868202
1767685500,103590.90518746,103545.62092943,45.28425803
