symbol,entry_ts,exit_ts,entry_px,exit_px,qty,gross_pnl,fees,net_pnl,exit_reason
SOLUSDT,1777327200,1777330800,84.32529,84.394674,1.76686357,0.12259206,0.14905258,-0.02646052,signal
ETHUSDT,1777334400,1777335300,2303.120729,2297.91042,0.06469116,-0.33706093,0.14882302,-0.48588396,signal
ETHUSDT,1777348800,1777349700,2290.446928,2284.164545,0.06504594,-0.40864348,0.14877994,-0.55742342,signal
ETHUSDT,1777360500,1777363200,2277.503046,2284.724377,0.06541194,0.4723613,0.14921208,0.32314922,signal
BTCUSDT,1777375800,1777376700,76380.80737,76149.74822,0.0019505,-0.45068083,0.14875541,-0.59943624,signal
ETHUSDT,1777376700,1777378500,2274.552161,2271.888229,0.06549498,-0.17447418,0.14888452,-0.32335871,signal
BTCUSDT,1777382100,1777383900,76193.45118,76140.1511,0.00195511,-0.10420775,0.1489148,-0.25312255,signal
SOLUSDT,1777383000,1777383900,83.745116,83.47495,1.7787864,-0.48056761,0.14872439,-0.629292,signal
ETHUSDT,1777382100,1777384800,2271.691303,2270.21873,0.06557484,-0.09656374,0.14891751,-0.24548125,signal
ETHUSDT,1777386600,1777390200,2269.460634,2271.568325,0.06563233,0.13833267,0.14901916,-0.01068648,signal
SOLUSDT,1777386600,1777390200,83.144936,83.215028,1.79143649,0.12556537,0.14901165,-0.02344629,signal
ETHUSDT,1777396500,1777398300,2284.675197,2288.843141,0.06519503,0.27172925,0.14908534,0.12264391,signal
SOLUSDT,1777396500,1777398300,83.515047,83.614908,1.78349131,0.17810123,0.14903741,0.02906381,signal
SOLUSDT,1777415400,1777420800,83.685098,83.954806,1.77990773,0.48005535,0.14919178,0.33086357,signal
ETHUSDT,1777426200,1777428900,2286.655791,2287.943411,0.06514173,0.0838778,0.14899865,-0.06512086,signal
SOLUSDT,1777433400,1777434300,84.645386,84.514638,1.75976206,-0.23008537,0.1488407,-0.37892607,signal
ETHUSDT,1777449600,1777451400,2324.037002,2323.90262,0.06409109,-0.00861269,0.14894575,-0.15755844,signal
